,predict_y,true_y
0,4.0,3.0
1,2.5,3.3
2,4.0,4.0
3,3.4,3.8
4,2.1,2.6
5,7.2,1.95
6,3.0,2.8
7,2.4,2.4
8,3.3,3.3
9,4.25,4.71
10,2.5,3.4
11,3.0,4.4
12,3.0,3.6
13,4.8,4.0
14,4.5,9.6
15,7.0,6.6
16,14.0,14.4
17,12.0,10.0
18,47.0,46.0
19,8.0,8.0
20,3.6,3.0
21,2.2,2.0
22,3.4,2.4
23,5.6000000000000005,3.2
24,4.3999999999999995,2.0
25,7.0,5.0
26,6.0,7.0
27,12.0,12.0
28,5.0,4.0
29,4.8,4.4
30,6.0,6.6
31,4.4,3.2
32,5.0,5.6
33,3.3,4.3
34,2.33,2.77
35,3.65,3.1
36,3.3999999999999995,3.4
37,3.2000000000000006,3.1
38,3.5,1.2
39,3.4,5.2
40,3.6,3.8
41,4.0,6.4
42,6.0,7.0
43,2.8,2.3
44,4.5,3.25
45,3.2,2.8
46,3.4,3.0
47,1.0,1.6
48,2.3000000000000003,2.25
49,1.0,1.35
50,2.6,2.8
51,4.2,2.2
52,2.27,2.58
53,1.8,2.4
54,5.0,3.0
55,1.8,2.0
56,2.8000000000000003,3.0
57,3.6,4.4
58,3.2,4.4
59,3.2,4.2
60,5.0,4.0
61,4.0,5.0
62,2.4,3.8
63,3.4,4.2
64,2.8,3.2
65,2.4,2.4
66,4.0,4.0
67,4.0,4.0
68,1.8,3.8
69,4.933333333333334,6.0
70,5.2,6.0
71,3.0,4.0
72,9.0,8.0
73,12.0,10.0
74,5.3999999999999995,5.2
75,4.4,2.3
76,6.9,3.25
77,6.2,3.0
78,5.0,2.4
79,2.5,2.15
80,3.0,2.0
81,6.2,3.0
82,4.0,2.6
83,5.6000000000000005,4.2
84,1.63,1.3
85,5.2,2.0
86,3.0,3.0
87,2.6,2.6
88,5.8,3.0
89,3.2,1.6
90,3.8049999999999997,3.2
91,3.8049999999999997,2.7
92,5.3,4.0
93,2.7,2.3
94,4.0,2.0
95,3.2,2.6
96,4.4,4.0
97,5.2,3.3
98,3.34,2.49
99,4.0,3.4
100,2.0,1.4
101,5.6,4.6
102,4.3,2.8
103,4.2,3.6
104,5.6000000000000005,3.6
105,10.0,4.6
106,2.6,2.8
107,1.2,5.6
108,4.0,6.8
109,2.8,8.6
